outage_id,date,day_label,time,res,equipment,work_type,address,zone_label
1,13.07.2026,Пн 13 июля,09:00–17:00,РЭС-1,"ВЛ-0,4кВ ТП-1319 вых. Юг",подрядный,"м-н Айгерим-1, ул. Бенберина 44–78",Айгерим-1
2,13.07.2026,Пн 13 июля,09:00–17:00,РЭС-1,"ВЛ-0,4кВ ТП-1211 вых. Юг",устр. дефектов,"пр. Райымбека 341, ул. Абдирова 3–27, Борзова 11–33, Боткина 1–18, Павленко 2–24",Райымбека–Абдирова
3,14.07.2026,Вт 14 июля,09:00–17:00,РЭС-1,"ВЛ-0,4кВ ТП-1310 вых. Юг",подрядный,"мкр. Айгерим-1: ул. Алматинская 1–8, Набережная 19–59, Наби 44–90,153–197, С.Ашимова 39–89",Айгерим-1
4,14.07.2026,Вт 14 июля,09:00–17:00,РЭС-1,"РУ-10/0,4кВ ТП-1721",капитальный,"м-н Шанырак-2: ул. Аубакирова 1–38, Жалантос Бахадур 1–37",Шанырак-2
5,14.07.2026,Вт 14 июля,09:00–17:00,РЭС-1,ВЛ-10кВ РП-221–ТП-1720 расч. трассы,устр. дефектов,"мкр. Шанырак-2: ул. Аманшина 8–23, Байсеит батыр 6–35, Жалантос Бахадур 5–50, Култегин 9–76, Тойшыбек батыр 1–53",Шанырак-2
6,15.07.2026,Ср 15 июля,09:00–17:00,РЭС-1,"ВЛ-0,4кВ ТП-1317 вых. Юг",подрядный,"м-н Айгерим-1: ул. Наби 209–243, Бенберина 95–129",Айгерим-1
7,15.07.2026,Ср 15 июля,09:00–17:00,РЭС-1,"РУ-0,4кВ ТП-1724",капитальный,"мкр. Шанырак-1: ул. Актума 1–41, Байторы 1–64, Коркыт 35–68, Улпан 1–57",Шанырак-1
8,15.07.2026,Ср 15 июля,09:00–17:00,РЭС-1,"ВЛ-0,4кВ ТП-1251 вых. Север",текущий,"ул. Бокейханова 51,280–364, Галилея 85, Самырсын 2",Бокейханова
9,16.07.2026,Чт 16 июля,09:00–17:00,РЭС-1,"ВЛ-0,4кВ ТП-1308 вых. Сев-Зап",подрядный,"мкр. Айгерим-1: ул. Наби, Бенберина",Айгерим-1
10,16.07.2026,Чт 16 июля,09:00–17:00,РЭС-1,"РУ-0,4кВ ТП-1725",текущий,"мкр. Шанырак-1: ул. Алпамыса 1–79г, Аулиеагаш 2–57, Жас Казах 83–111, Искакова 28а, Каратау 2–45, Кобыланды 1–22, Когалы 51, Окжетпес 9–40, Жылысай 35–68, Рахымов 18/11–12, Ыскаков 2–35",Шанырак-1
11,16.07.2026,Чт 16 июля,09:00–17:00,РЭС-1,ВЛ-6кВ ТП-1592–1057–1021 расч. трассы,устр. дефектов,"ул. Абаканская, Баишева, Матросова, Мусоргского, Севастопольская, Л.Хамиди, Черкасской обороны, Шемякина, Войникова, Волочаевская, Никопольская, Омская, Станиславского, Шелихова, Баян-Аульская, Кадырбек улы",Маяк–Абаканская
12,17.07.2026,Пт 17 июля,09:00–17:00,РЭС-1,"ВЛ-0,4кВ ТП-1319 вых. Юг",подрядный,м-н Айгерим-1: ул. Бенберина 44–78,Айгерим-1
13,17.07.2026,Пт 17 июля,09:00–17:00,РЭС-1,"ВЛ-0,4кВ ТП-1229 вых. Сев-Вост",текущий,"ул. Бокейханова 6, Галилея 10–98, Черновицкая 4–118",Бокейханова
14,13.07.2026,Пн 13 июля,08:00–17:00,РЭС-2,"ВЛ-0,4кВ ТП-2505",подрядный,кв. Джандосова–Тургут Озала–Сатпаева–Туркебаева,Джандосова–Сатпаева
15,13.07.2026,Пн 13 июля,08:00–17:00,РЭС-2,"ВЛ-0,4кВ ТП-2157",капитальный,кв. Мынбаева–Клочкова–Абая–8 линия,Джандосова–Сатпаева
16,13.07.2026,Пн 13 июля,08:00–17:00,РЭС-2,ТП-2279 к.я. №1,подрядный,кв. Богенбай батыра–Айманова–Толе би–Умбетбаева,Богенбай–Толе би
17,14.07.2026,Вт 14 июля,08:00–17:00,РЭС-2,"ВЛ-0,4кВ ТП-2299",подрядный,кв. Абая–Прокофьева–Есенжанова–Жемчужная,Абая–Жемчужная
18,14.07.2026,Вт 14 июля,08:00–17:00,РЭС-2,"ВЛ-0,4кВ ТП-2026",капитальный,кв. Богенбай батыра–Чайковского–Толе би–Наурызбай батыра,Богенбай–Толе би
19,14.07.2026,Вт 14 июля,08:00–17:00,РЭС-2,ТП-2718,текущий,кв. Сатпаева–Тургут Озала–Мынбаева–Туркебаева,Джандосова–Сатпаева
20,14.07.2026,Вт 14 июля,08:00–17:00,РЭС-2,КЛ-6кВ РП-18 с2-ТП-2022,подрядный,кв. Богенбай батыра–Айманова–Толе би–Умбетбаева; Карасай батыра вост. Айманова,Карасай–Желтоксан
21,14.07.2026,Вт 14 июля,08:00–17:00,РЭС-2,КЛ-6кВ РП-18 с2-ТП-2262,подрядный,кв. Шевченко–Абылай хана–Джамбула–Желтоксан; Карасай батыра вост. Айманова,Карасай–Желтоксан
22,15.07.2026,Ср 15 июля,08:00–17:00,РЭС-2,"ВЛ-0,4кВ ТП-2406",подрядный,кв. Шакарима–Жемчужная–Кулымбетова–Тлендиева,Шакарима–Кулымбетова
23,15.07.2026,Ср 15 июля,08:00–17:00,РЭС-2,"ВЛ-0,4кВ ТП-2251",капитальный,кв. Сатпаева–Айманова–Мынбаева–Гагарина,Джандосова–Сатпаева
24,15.07.2026,Ср 15 июля,08:00–17:00,РЭС-2,ТП-2356,текущий,кв. Карасай батыра–Желтоксан–Толе би–Чайковского,Карасай–Желтоксан
25,16.07.2026,Чт 16 июля,08:00–17:00,РЭС-2,"ВЛ-0,4кВ ТП-2387",подрядный,кв. Джандосова–Тургут Озала–Сатпаева–Туркебаева,Джандосова–Сатпаева
26,16.07.2026,Чт 16 июля,08:00–17:00,РЭС-2,"ВЛ-0,4кВ ТП-2123",капитальный,кв. Казыбек би–Сейфуллина–Айтеке би–Амангельды,Казыбек би–Сейфуллина
27,16.07.2026,Чт 16 июля,08:00–17:00,РЭС-2,"ТП-2365 РУ-0,4кВ",текущий,кв. Абая–Досмухамедова–Курмангазы–Шарипова,Абая–Досмухамедова
28,17.07.2026,Пт 17 июля,08:00–17:00,РЭС-2,"ВЛ-0,4кВ ТП-2385",подрядный,кв. Шакарима–Тургут Озала–Кулымбетова–Туркебаева,Джандосова–Сатпаева
29,17.07.2026,Пт 17 июля,08:00–17:00,РЭС-2,"ВЛ-0,4кВ ТП-2156",капитальный,кв. Джандосова–Ауэзова–Сатпаева–Клочкова,Джандосова–Сатпаева
30,13.07.2026,Пн 13 июля,08:00–17:00,РЭС-3,"ВЛ-0,4кВ ТП-3118",текущий,"м-н Таусамалы: ул. М.Сагдиев, Сейфуллина, Жандосова",Казыбек би–Сейфуллина
31,13.07.2026,Пн 13 июля,08:00–17:00,РЭС-3,"ВЛ-0,4кВ ТП-3405",подрядный,"м-н Акжар: ул. Амина Омирзакова, Султан Байсултанов, Ш.Айманова",Богенбай–Толе би
32,13.07.2026,Пн 13 июля,08:00–17:00,РЭС-3,ВЛ-10кВ ф.9-127А,подрядный,"мкр. Тастыбулак, Акжар (полностью)",Тастыбулак
33,13.07.2026,Пн 13 июля,08:00–17:00,РЭС-3,"ТП-3678,3679,3114",капитальный,Калкаман-2 (Тойторы Батыра и др.) + Таусамалы (Бектембай и др.),Калкаман-2
34,14.07.2026,Вт 14 июля,08:00–17:00,РЭС-3,"ВЛ-10кВ ф.4-127А,14-171А,9-127А",тек+подр,"Тастыбулак, Акжар (полностью)",Тастыбулак
35,14.07.2026,Вт 14 июля,08:00–17:00,РЭС-3,"ТП-3681,3680,3419",капитальный,Калкаман-2 (Айтей батыра и др.) + Акжар (Айманова и др.),Калкаман-2
36,15.07.2026,Ср 15 июля,08:00–17:00,РЭС-3,ВЛ-10кВ ф.12-42А,текущий,мкр. Таужолы,Таужолы
37,15.07.2026,Ср 15 июля,08:00–17:00,РЭС-3,"ВЛ-0,4кВ ТП-3314",текущий,"м-н Карагайлы: ул. Кали Надырова, Енлик-Кебек, Айша биби",Карагайлы
38,15.07.2026,Ср 15 июля,08:00–17:00,РЭС-3,"ВЛ-0,4кВ ТП-3408 + 10кВ ф.9-127А",подрядный,"м-н Акжар: ул. Аккуяш, Тарасова, Кадыр Мырзалиев; Тастыбулак",Тастыбулак
39,15.07.2026,Ср 15 июля,08:00–17:00,РЭС-3,"ТП-3632,3631,3401",капитальный,"Калкаман-2 (Толе-Би, Тажибаева и др.) + Акжар (Тарасова и др.)",Калкаман-2
40,16.07.2026,Чт 16 июля,08:00–17:00,РЭС-3,ВЛ-10кВ ф.9-141А,текущий,мкр. Калкаман,Калкаман
41,16.07.2026,Чт 16 июля,08:00–17:00,РЭС-3,"ВЛ-0,4кВ ТП-3408 + 10кВ ф.9-127А",подрядный,"м-н Акжар (Аккуяш, Тарасова, Кадыр Мырзалиев); Тастыбулак",Тастыбулак
42,16.07.2026,Чт 16 июля,08:00–17:00,РЭС-3,"ТП-3630,3633,3418",капитальный,"Калкаман-2 (Абишева, Толе-Би) + Акжар (Белжайлау и др.)",Калкаман-2
43,17.07.2026,Пт 17 июля,08:00–17:00,РЭС-3,ВЛ-10кВ ф.35-147А + ТП-3408 + 9-127А,тек+подр,"мкр. Калкаман; Акжар (Аккуяш, Тарасова); Тастыбулак",Тастыбулак
44,17.07.2026,Пт 17 июля,08:00–17:00,РЭС-3,"ТП-3601,3603,3414",капитальный,"мкр. Шугыла (Кенжетаев, Сабденова); Акжар (Мырзалиев, Абдилдин)",Шугыла
45,13.07.2026,Пн 13 июля,08:00–17:00,РЭС-4,"ВЛ-0,4кВ ТП-4542 ВЛ-1,2; ТП-4587",текущий,"ул. Дальняя 26–47, Токтогула 61–118, Фучика 29–104/2, Артиллерийская 21–50, Жарылгасова 30–95, Жансугурова 261–269, Тихова 37–58; ОШ №89 Поддубного 155",Дальняя–Токтогула
46,14.07.2026,Вт 14 июля,08:00–17:00,РЭС-4,"ВЛ-0,4кВ ТП-4542 ВЛ-3,4; ТП-4379",текущий,"ул. Дальняя, Токтогула, Фучика, Артиллерийская (продолж.); мкр. Карасу: Заводская, Шоссейная",Дальняя–Токтогула
47,15.07.2026,Ср 15 июля,08:00–17:00,РЭС-4,"ВЛ-0,4кВ ТП-4413 вых. Север; ТП-4519",текущий,"ул. Кожедуба, Шемякина, Айтыкова, Баймагамбетова, Джалалабадская, Хорезмская, Херсонская, Читинская, Гете, Белякова; Суонио, Кубеева, Поддубного, Захарова, Майлина, Новокузнецкая",Кожедуба–Шемякина
48,16.07.2026,Чт 16 июля,08:00–17:00,РЭС-4,"ВЛ-0,4кВ ТП-4413 вых. Юг; ТП-4566",текущий,"ул. Кожедуба, Шемякина (продолж.); Казакпаева, Флотская, Таштитова, Белякова, Суюнбая, Я.Купала",Суюнбая–Казакпаева
49,17.07.2026,Пт 17 июля,08:00–17:00,РЭС-4,"ВЛ-0,4кВ ТП-4395; ТП-4492; ТП-4374 и др.",тек+кап,"мкр. Кайрат, Маяк (Казангап, Топчиева); ул. Кассина, Тихова, Рудаки, Сейфуллина, Зелинского; мкр. Новый, Карасу",Казыбек би–Сейфуллина
50,14.07.2026,Вт 14 июля,09:00–17:00,РЭС-5,ТП-5652; ТП-5280,подр+тек,"м-н Мирас, п. Каргалы, ул. Кирова; зап. р. Весновка, сев. Бухар Жирау",Весновка
51,15.07.2026,Ср 15 июля,09:00–17:00,РЭС-5,ТП-5285; ТП-5661,текущий,"перекр. Тимирязева/Жарокова; мкр. Каргалы, СТ Алатау",Тимирязева–Манаса
52,16.07.2026,Чт 16 июля,09:00–17:00,РЭС-5,ТП-5229; ТП-5251; ТП-5371,тек+подр,"мкр. Горный-Гигант (Азербаева, Игишева); Байсеитова/Сатпаева; Тимирязева/Манаса/Габдуллина",Горный-Гигант
53,13.07.2026,Пн 13 июля,08:00–17:00,РЭС-6,ТП-6204; ТП-6039,текущий,"пр. Абая 4 (КИМЭП); ул. Таттимбета, Ключевая, Таирова, Татибекова, Биембетова",Таттимбета–Луганского
54,14.07.2026,Вт 14 июля,08:00–17:00,РЭС-6,ТП-6302; ТП-6321,текущий,"ул. Валиханова 83, Кунаева 96–108, Богенбай батыра 106, Кабанбай батыра 55; ул. Байтасова, Кармысова, Луганского, Бегалина, Кошкунова",Центр–Валиханова
55,15.07.2026,Ср 15 июля,08:00–17:00,РЭС-6,ТП-6162; ТП-6115; ТП-6249,тек+кап,"садоводства (Гос.Кино, Геолог, Казахфильм и др.); ул. Жургенова, Потанина, Ашимбаева, Джангельдина; ул. Таттимбета, Луганского",Жургенова–Потанина
56,16.07.2026,Чт 16 июля,08:00–17:00,РЭС-6,ТП-6114; ТП-6151,тек+тек,"ул. Баишева, Джангильдина, Хамиди, Джетысуйская, Макатаева, Гоголя, Жургенева; пр. Назарбаева 112–116, Тулебаева, Богенбай, Толе би",Жургенова–Потанина
57,17.07.2026,Пт 17 июля,08:00–17:00,РЭС-6,ТП-6324; ТП-6457,тек+кап,"п. Кок-Тюбе (Диваева, Космодемьянские); м-н Каменское плато (Заречная, Байконурская, Обсерватория)",Каменское плато
58,13.07.2026,Пн 13 июля,08:00–17:00,РЭС-7,"ВЛ-10кВ РП-149–ТП-7418,7429",текущий,"ул. Каргалинская 114–188, Ташкенская 1–43",Каргалинская
59,14.07.2026,Вт 14 июля,08:00–17:00,РЭС-7,ТП-7513; ТП-7603,текущий,"мкр. Таугуль: ул. Новая 1–98, Центральная 34–75; ул. Пятницкого 7–28, Ладыгина 14–32",Навои–Пятницкого
60,15.07.2026,Ср 15 июля,08:00–17:00,РЭС-7,"ТП-7519,7514,7599,7307",подр+тек,"мкр. Таугуль (д.14а–20а, школа 127); ул. Навои 1–34; мкр. Аксай-1 д.6–8",Таугуль
61,16.07.2026,Чт 16 июля,08:00–17:00,РЭС-7,ТП-7600,текущий,"ул. Жандосова 162а–164, Пятницкого 71,73",Навои–Пятницкого
